420000 0.387 68.117 4.388 -1175.517 0.000 69.367 -1106.151 105.432  3042 0.210 30.275 0
430000 0.388 68.117 4.388 -1219.322 0.000 68.081 -1151.242 114.822  3152 0.215 30.332 0
440000 0.387 68.117 4.389 -1238.357 0.000 73.660 -1164.696 136.948  3220 0.220 30.437 0
450000 0.388 68.117 4.389 -1189.298 0.000 71.370 -1117.928 120.685  3128 0.225 30.412 0
460000 0.387 68.117 4.389 -1202.858 0.000 76.656 -1126.202 127.746  3196 0.230 30.458 0
470000 0.387 68.117 4.389 -1191.318 0.000 69.650 -1121.668 108.185  3164 0.235 30.360 0
480000 0.387 68.117 4.390 -1176.905 0.000 71.574 -1105.331 115.113  3140 0.240 30.351 0
490000 0.388 68.117 4.390 -1204.875 0.000 68.977 -1135.897 108.605  3160 0.245 30.216 0
500000 0.387 68.117 4.390 -1196.882 0.000 82.693 -1114.189 115.021  3172 0.250 30.270 0
510000 0.387 68.117 4.390 -1200.820 0.000 76.471 -1124.349 115.594  3138 0.255 30.510 0
520000 0.386 68.117 4.391 -1192.235 0.000 72.717 -1119.518 116.815  3142 0.260 30.501 0
530000 0.387 68.117 4.391 -1164.213 0.000 78.308 -1085.905 115.856  3144 0.265 30.473 0
540000 0.386 68.117 4.391 -1178.045 0.000 68.994 -1109.051 116.252  3128 0.270 30.505 0
550000 0.387 68.117 4.391 -1185.924 0.000 79.788 -1106.136 131.672  3136 0.275 30.430 0
560000 0.387 68.117 4.392 -1182.010 0.000 78.298 -1103.712 133.546  3132 0.280 30.650 0
570000 0.387 68.117 4.392 -1164.861 0.000 65.765 -1099.096 115.660  3088 0.285 30.699 0
580000 0.387 68.117 4.392 -1177.331 0.000 74.106 -1103.226 116.080  3116 0.290 30.596 0
590000 0.387 68.117 4.392 -1191.692 0.000 67.690 -1124.002 120.505  3118 0.295 30.593 0
600000 0.386 68.117 4.393 -1168.375 0.000 64.747 -1103.628 109.000  3144 0.300 30.633 0
610000 0.386 68.117 4.393 -1182.496 0.000 63.974 -1118.522 108.617  3128 0.305 30.742 0
620000 0.388 68.117 4.393 -1187.789 0.000 71.649 -1116.141 118.854  3166 0.310 30.752 0
630000 0.387 68.117 4.393 -1174.121 0.000 64.617 -1109.504 126.246  3080 0.315 30.943 0
640000 0.387 68.117 4.394 -1193.358 0.000 70.211 -1123.147 138.946  3118 0.320 30.709 0
650000 0.386 68.117 4.394 -1178.435 0.000 67.231 -1111.204 119.705  3066 0.325 30.723 0
660000 0.386 68.117 4.394 -1197.585 0.000 69.449 -1128.136 114.834  3108 0.330 30.637 0
670000 0.387 68.117 4.394 -1204.533 0.000 74.958 -1129.575 102.450  3092 0.335 30.722 0
680000 0.386 68.117 4.395 -1176.838 0.000 72.774 -1104.064 115.949  3080 0.340 30.858 0
690000 0.386 68.117 4.395 -1159.848 0.000 70.510 -1089.337 133.741  3066 0.345 30.734 0
700000 0.387 68.117 4.395 -1156.204 0.000 76.944 -1079.259 121.210  3038 0.350 30.712 0
710000 0.386 68.117 4.395 -1184.878 0.000 81.185 -1103.693 132.119  3084 0.355 30.599 0
720000 0.387 68.117 4.396 -1201.974 0.000 72.057 -1129.917 104.612  3162 0.360 30.623 0
730000 0.388 68.117 4.396 -1185.082 0.000 76.540 -1108.541 110.023  3142 0.365 30.378 0
740000 0.387 68.117 4.396 -1194.842 0.000 73.787 -1121.055 108.366  3124 0.370 30.476 0
750000 0.387 68.117 4.396 -1195.330 0.000 72.109 -1123.221 113.594  3136 0.375 30.570 0
760000 0.388 68.117 4.397 -1209.620 0.000 71.858 -1137.762 118.883  3174 0.380 30.425 0
770000 0.386 68.117 4.397 -1178.367 0.000 67.378 -1110.988 122.489  3092 0.385 30.537 0
780000 0.387 68.117 4.397 -1187.904 0.000 70.025 -1117.878 123.726  3164 0.390 30.622 0
790000 0.387 68.117 4.397 -1183.713 0.000 69.041 -1114.672 113.105  3124 0.395 30.672 0
800000 0.388 68.117 4.398 -1191.564 0.000 70.476 -1121.088 115.792  3140 0.400 30.502 0
810000 0.387 68.117 4.398 -1194.143 0.000 66.397 -1127.747 108.869  3128 0.405 30.496 0
820000 0.387 68.117 4.398 -1192.769 0.000 67.989 -1124.780 111.654  3146 0.410 30.551 0
830000 0.387 68.117 4.398 -1180.535 0.000 67.897 -1112.638 121.357  3094 0.415 30.642 0
840000 0.387 68.117 4.399 -1188.165 0.000 73.119 -1115.046 112.025  3140 0.420 30.547 0
850000 0.387 68.117 4.399 -1192.433 0.000 74.668 -1117.765 113.021  3108 0.425 30.524 0
860000 0.387 68.117 4.399 -1204.828 0.000 67.674 -1137.154 126.694  3118 0.430 30.681 0
870000 0.387 68.117 4.399 -1190.775 0.000 69.711 -1121.064 129.235  3152 0.435 30.706 0
880000 0.387 68.117 4.400 -1185.315 0.000 70.236 -1115.079 128.249  3126 0.440 30.643 0
890000 0.387 68.117 4.400 -1168.025 0.000 74.605 -1093.420 112.242  3110 0.445 30.600 0
900000 0.387 68.117 4.400 -1169.589 0.000 69.745 -1099.845 99.416  3140 0.450 30.499 0
910000 0.387 68.117 4.400 -1180.680 0.000 73.642 -1107.038 124.029  3080 0.455 30.588 0
920000 0.386 68.117 4.401 -1184.735 0.000 75.596 -1109.139 110.541  3160 0.460 30.627 0
930000 0.388 68.117 4.401 -1207.275 0.000 72.209 -1135.065 105.732  3180 0.465 30.788 0
940000 0.387 68.117 4.401 -1192.546 0.000 67.985 -1124.561 115.548  3178 0.470 30.745 0
950000 0.388 68.117 4.401 -1191.945 0.000 74.539 -1117.407 115.716  3150 0.475 30.632 0
960000 0.386 68.117 4.402 -1171.654 0.000 67.812 -1103.843 122.296  3134 0.480 30.639 0
970000 0.387 68.117 4.402 -1199.454 0.000 74.033 -1125.421 118.452  3196 0.485 30.773 0
980000 0.387 68.117 4.402 -1176.168 0.000 67.328 -1108.840 116.206  3170 0.490 30.678 0
990000 0.387 68.117 4.402 -1167.826 0.000 72.075 -1095.751 129.471  3106 0.495 30.859 0
1000000 0.387 68.117 4.403 -1196.459 0.000 72.801 -1123.658 112.182  3148 0.500 30.626 0
1010000 0.386 68.117 4.403 -1195.001 0.000 66.979 -1128.022 126.046  3150 0.505 30.636 0
1020000 0.387 68.117 4.403 -1197.481 0.000 66.991 -1130.490 118.583  3174 0.510 30.493 0
1030000 0.387 68.117 4.403 -1194.484 0.000 74.325 -1120.160 123.780  3172 0.515 30.398 0
1040000 0.386 68.117 4.404 -1194.921 0.000 71.287 -1123.634 121.713  3116 0.520 30.500 0
1050000 0.387 68.117 4.404 -1183.257 0.000 69.953 -1113.304 123.588  3190 0.525 30.454 0
1060000 0.387 68.117 4.404 -1196.034 0.000 70.298 -1125.736 112.461  3152 0.530 30.395 0
1070000 0.387 68.117 4.404 -1170.978 0.000 76.556 -1094.422 117.198  3090 0.535 30.333 0
1080000 0.386 68.117 4.405 -1187.719 0.000 77.446 -1110.273 113.706  3152 0.540 30.256 0
1090000 0.387 68.117 4.405 -1207.305 0.000 66.802 -1140.503 104.999  3178 0.545 30.343 0
1100000 0.388 68.117 4.405 -1172.321 0.000 71.230 -1101.091 124.897  3136 0.550 30.396 0
1110000 0.387 68.117 4.405 -1174.272 0.000 73.383 -1100.889 122.695  3130 0.555 30.421 0
1120000 0.388 68.117 4.406 -1168.305 0.000 72.241 -1096.064 110.382  3080 0.560 30.393 0
1130000 0.387 68.117 4.406 -1191.549 0.000 74.647 -1116.903 116.911  3188 0.565 30.464 0
1140000 0.387 68.117 4.406 -1192.561 0.000 65.506 -1127.055 121.324  3150 0.570 30.527 0
1150000 0.387 68.117 4.406 -1180.310 0.000 66.474 -1113.836 110.966  3118 0.575 30.578 0
1160000 0.387 68.117 4.407 -1167.638 0.000 69.891 -1097.747 106.097  3136 0.580 30.650 0
1170000 0.386 68.117 4.407 -1176.656 0.000 68.150 -1108.506 113.953  3132 0.585 30.708 0
1180000 0.387 68.117 4.407 -1167.719 0.000 69.526 -1098.193 129.755  3120 0.590 30.748 0
1190000 0.387 68.117 4.407 -1191.685 0.000 70.693 -1120.992 109.221  3138 0.595 30.537 0
1200000 0.387 68.117 4.408 -1188.773 0.000 73.452 -1115.322 118.222  3160 0.600 30.689 0
1210000 0.387 68.117 4.408 -1148.308 0.000 60.394 -1087.914 116.979  3072 0.605 30.697 0
1220000 0.387 68.117 4.408 -1172.260 0.000 71.960 -1100.300 96.778  3096 0.610 30.958 0
