0 68.117 4.378 -0.959 -2.830 -3.200
10000 68.117 4.378 -0.959 -2.830 -3.200
20000 68.117 4.378 -0.959 -2.830 -3.200
30000 68.117 4.378 -0.959 -2.830 -3.200
40000 68.117 4.379 -0.959 -2.830 -3.200
50000 68.117 4.379 -0.959 -2.830 -3.201
60000 68.117 4.379 -0.960 -2.831 -3.201
70000 68.117 4.379 -0.960 -2.831 -3.201
80000 68.117 4.380 -0.960 -2.831 -3.201
90000 68.117 4.380 -0.960 -2.831 -3.201
100000 68.117 4.380 -0.960 -2.831 -3.201
110000 68.117 4.380 -0.960 -2.831 -3.202
120000 68.117 4.381 -0.960 -2.832 -3.202
130000 68.117 4.381 -0.960 -2.832 -3.202
140000 68.117 4.381 -0.960 -2.832 -3.202
150000 68.117 4.381 -0.960 -2.832 -3.202
160000 68.117 4.382 -0.960 -2.832 -3.203
170000 68.117 4.382 -0.960 -2.832 -3.203
180000 68.117 4.382 -0.960 -2.833 -3.203
190000 68.117 4.382 -0.960 -2.833 -3.203
200000 68.117 4.383 -0.960 -2.833 -3.203
210000 68.117 4.383 -0.960 -2.833 -3.203
220000 68.117 4.383 -0.960 -2.833 -3.204
230000 68.117 4.383 -0.960 -2.833 -3.204
240000 68.117 4.384 -0.961 -2.833 -3.204
250000 68.117 4.384 -0.961 -2.834 -3.204
260000 68.117 4.384 -0.961 -2.834 -3.204
270000 68.117 4.384 -0.961 -2.834 -3.205
280000 68.117 4.385 -0.961 -2.834 -3.205
290000 68.117 4.385 -0.961 -2.834 -3.205
300000 68.117 4.385 -0.961 -2.834 -3.205
310000 68.117 4.385 -0.961 -2.835 -3.205
320000 68.117 4.386 -0.961 -2.835 -3.205
330000 68.117 4.386 -0.961 -2.835 -3.206
340000 68.117 4.386 -0.961 -2.835 -3.206
350000 68.117 4.386 -0.961 -2.835 -3.206
360000 68.117 4.387 -0.961 -2.835 -3.206
370000 68.117 4.387 -0.961 -2.836 -3.206
380000 68.117 4.387 -0.961 -2.836 -3.207
390000 68.117 4.387 -0.961 -2.836 -3.207
400000 68.117 4.388 -0.961 -2.836 -3.207
410000 68.117 4.388 -0.961 -2.836 -3.207
420000 68.117 4.388 -0.962 -2.836 -3.207
430000 68.117 4.388 -0.962 -2.837 -3.207
440000 68.117 4.389 -0.962 -2.837 -3.208
450000 68.117 4.389 -0.962 -2.837 -3.208
460000 68.117 4.389 -0.962 -2.837 -3.208
470000 68.117 4.389 -0.962 -2.837 -3.208
480000 68.117 4.390 -0.962 -2.837 -3.208
490000 68.117 4.390 -0.962 -2.838 -3.209
500000 68.117 4.390 -0.962 -2.838 -3.209
510000 68.117 4.390 -0.962 -2.838 -3.209
520000 68.117 4.391 -0.962 -2.838 -3.209
530000 68.117 4.391 -0.962 -2.838 -3.209
540000 68.117 4.391 -0.962 -2.838 -3.210
550000 68.117 4.391 -0.962 -2.838 -3.210
560000 68.117 4.392 -0.962 -2.839 -3.210
570000 68.117 4.392 -0.962 -2.839 -3.210
580000 68.117 4.392 -0.962 -2.839 -3.210
590000 68.117 4.392 -0.962 -2.839 -3.210
600000 68.117 4.393 -0.962 -2.839 -3.211
610000 68.117 4.393 -0.963 -2.839 -3.211
620000 68.117 4.393 -0.963 -2.840 -3.211
630000 68.117 4.393 -0.963 -2.840 -3.211
640000 68.117 4.394 -0.963 -2.840 -3.211
650000 68.117 4.394 -0.963 -2.840 -3.212
660000 68.117 4.394 -0.963 -2.840 -3.212
670000 68.117 4.394 -0.963 -2.840 -3.212
680000 68.117 4.395 -0.963 -2.841 -3.212
690000 68.117 4.395 -0.963 -2.841 -3.212
700000 68.117 4.395 -0.963 -2.841 -3.212
710000 68.117 4.395 -0.963 -2.841 -3.213
720000 68.117 4.396 -0.963 -2.841 -3.213
730000 68.117 4.396 -0.963 -2.841 -3.213
740000 68.117 4.396 -0.963 -2.842 -3.213
750000 68.117 4.396 -0.963 -2.842 -3.213
760000 68.117 4.397 -0.963 -2.842 -3.214
770000 68.117 4.397 -0.963 -2.842 -3.214
780000 68.117 4.397 -0.963 -2.842 -3.214
790000 68.117 4.397 -0.964 -2.842 -3.214
800000 68.117 4.398 -0.964 -2.843 -3.214
810000 68.117 4.398 -0.964 -2.843 -3.214
820000 68.117 4.398 -0.964 -2.843 -3.215
830000 68.117 4.398 -0.964 -2.843 -3.215
840000 68.117 4.399 -0.964 -2.843 -3.215
850000 68.117 4.399 -0.964 -2.843 -3.215
860000 68.117 4.399 -0.964 -2.843 -3.215
870000 68.117 4.399 -0.964 -2.844 -3.216
880000 68.117 4.400 -0.964 -2.844 -3.216
890000 68.117 4.400 -0.964 -2.844 -3.216
900000 68.117 4.400 -0.964 -2.844 -3.216
910000 68.117 4.400 -0.964 -2.844 -3.216
920000 68.117 4.401 -0.964 -2.844 -3.216
930000 68.117 4.401 -0.964 -2.845 -3.217
940000 68.117 4.401 -0.964 -2.845 -3.217
950000 68.117 4.401 -0.964 -2.845 -3.217
960000 68.117 4.402 -0.964 -2.845 -3.217
970000 68.117 4.402 -0.965 -2.845 -3.217
980000 68.117 4.402 -0.965 -2.845 -3.218
990000 68.117 4.402 -0.965 -2.846 -3.218
1000000 68.117 4.403 -0.965 -2.846 -3.218
1010000 68.117 4.403 -0.965 -2.846 -3.218
1020000 68.117 4.403 -0.965 -2.846 -3.218
1030000 68.117 4.403 -0.965 -2.846 -3.218
1040000 68.117 4.404 -0.965 -2.846 -3.219
1050000 68.117 4.404 -0.965 -2.847 -3.219
1060000 68.117 4.404 -0.965 -2.847 -3.219
